Number,Type,Short_Description,Description,Caller_ID,Assignment_Group,Priority,Status,Domain,Opened_At,Resolved_At,Work_Notes,Remarks
INC0000015,Incident,Scheduled OS patching request,Monthly OS patching cycle for 45 Linux servers. Patch Tuesday schedule. Reboot required for kernel updates.,linda.wu,L1-Service Desk,P2 - High,Resolved,IT Infrastructure,2024-04-25 02:21,2024-04-25 05:21,Investigated the issue. Root cause identified. Fix applied.,
RITM0000016,Service Request,Disk space critical – /var filesystem,SolarWinds alert: /var/log partition at 96% on db-server-01. Old log rotation not working. Need immediate cleanup.,mike.patel,L2-Middleware Team,P2 - High,Closed,Cloud & Virtualisation,2024-02-06 16:15,2024-02-08 04:15,User confirmed resolution. Ticket closing.,Resolved by L2-Database Admin
INC0000017,Incident,Vulnerability scan found critical CVE,Qualys scan identified CVE-2024-1234 (CVSS 9.8) on web-server-02. Patch available. Emergency change required.,jessica.lee,L1-Service Desk,P3 - Medium,Resolved,Database Services,2024-02-19 21:27,2024-02-21 19:27,Escalated to L3 team for further analysis.,
RITM0000018,Service Request,CPU threshold breach – DB server,Splunk alert: DB-PROD-02 CPU at 92%. Slow queries detected. DBA team needs to review.,mike.patel,L2-Security Team,P2 - High,Resolved,Security Operations,2024-02-25 07:12,2024-02-26 08:12,Temporary workaround applied. Permanent fix pending.,
INC0000019,Incident,Linux server kernel panic,Server LNX-PROD-04 crashed with kernel panic – not syncing. vmcore dump captured. Analysis pending.,linda.wu,L2-Network Team,P4 - Low,Closed,Security Operations,2024-10-08 03:03,2024-10-11 01:03,User confirmed resolution. Ticket closing.,Resolved by L3-Cloud Team
CHG0000020,Change Request,Volume mount failure after reboot,"After last patch reboot, /data volume failed to auto-mount. fstab entry appears correct. Manual mount succeeded.",anna.brown,L2-Security Team,P4 - Low,On Hold,Security Operations,2024-03-25 12:00,,Patch applied successfully during maintenance window.,
INC0000021,Incident,Batch job not completing,Nightly EOD batch job stuck since 02:00 AM. Investigating deadlock in job scheduler. Data processing delayed.,john.smith,L2-Middleware Team,P3 - Medium,In Progress,Security Operations,2024-05-31 06:03,,Patch applied successfully during maintenance window.,
INC0000022,Incident,Zombie processes consuming resources,250 zombie processes detected on app-server-09. Parent process not reaping children. OS-level investigation needed.,linda.wu,L3-Infrastructure,P2 - High,In Progress,IT Infrastructure,2024-09-17 02:54,,Awaiting business approval before proceeding.,
INC0000023,Incident,RAID controller degraded,RAID-5 array reporting one failed disk. Hot spare kicked in. Replacement disk required urgently.,tom.wilson,L3-Application Support,P3 - Medium,On Hold,Application Services,2024-02-11 13:42,,Issue resolved after server restart.,
INC0000024,Incident,VPN tunnel down – remote site,Site-to-site VPN between HQ and Branch-04 is down. Remote users cannot access internal resources.,raj.kumar,L2-Network Team,P2 - High,In Progress,Network Services,2024-02-07 00:29,,Escalated to L3 team for further analysis.,
INC0000025,Incident,OS filesystem read-only due to error,Filesystem /opt mounted read-only after disk IO error. fsck required. Maintenance window needed.,tom.wilson,L2-Storage Team,P4 - Low,Resolved,IT Infrastructure,2024-08-12 17:45,2024-08-14 08:45,Patch applied successfully during maintenance window.,
CHG0000026,Change Request,Disk space critical – /var filesystem,SolarWinds alert: /var/log partition at 96% on db-server-01. Old log rotation not working. Need immediate cleanup.,raj.kumar,L2-Middleware Team,P2 - High,Closed,Application Services,2024-03-09 08:07,2024-03-09 22:07,Change request raised for permanent resolution.,Resolved by L2-Database Admin
INC0000027,Incident,Database replication lag,MySQL replica on db-replica-02 is 45 minutes behind primary. Large transaction causing replication delay.,emily.chen,L2-Network Team,P1 - Critical,Closed,Database Services,2024-05-08 01:05,2024-05-10 08:05,Issue resolved after server restart.,Resolved by L2-Network Team
RITM0000028,Service Request,Backup failure – Oracle RMAN,Nightly RMAN backup failed with ORA-19809 disk quota exceeded. Backup destination /backup is full.,mike.patel,L2-Storage Team,P3 - Medium,Closed,IT Infrastructure,2024-10-14 00:07,2024-10-14 10:07,Change request raised for permanent resolution.,Resolved by L2-Middleware Team
INC0000029,Incident,RabbitMQ queue overflow,RabbitMQ queue payment-events has exceeded max length. Messages being dropped. Consumer throughput issue.,linda.wu,L2-Server Team,P2 - High,Closed,Network Services,2024-06-06 11:57,2024-06-06 17:57,Patch applied successfully during maintenance window.,Resolved by L3-Infrastructure
CHG0000030,Change Request,Splunk forwarder not sending logs,Splunk universal forwarder on server app-07 stopped sending logs 6 hours ago. Splunkd service restarted.,jessica.lee,L3-Application Support,P1 - Critical,Closed,Security Operations,2024-05-01 05:51,2024-05-02 04:51,Temporary workaround applied. Permanent fix pending.,Resolved by L2-Security Team
INC0000031,Incident,Out of memory error on application server,Java heap space exhausted on app-server-07. JVM restart performed but root cause unresolved. Memory leak suspected.,raj.kumar,L2-Database Admin,P3 - Medium,Closed,Application Services,2024-01-20 15:14,2024-01-21 17:14,Investigated the issue. Root cause identified. Fix applied.,Resolved by L2-Database Admin
RITM0000032,Service Request,VPN tunnel down – remote site,Site-to-site VPN between HQ and Branch-04 is down. Remote users cannot access internal resources.,ahmed.ali,L3-Application Support,P4 - Low,Resolved,IT Infrastructure,2024-05-22 11:41,2024-05-25 05:41,Escalated to L3 team for further analysis.,
INC0000033,Incident,OS filesystem read-only due to error,Filesystem /opt mounted read-only after disk IO error. fsck required. Maintenance window needed.,carlos.garcia,L2-Middleware Team,P4 - Low,On Hold,Cloud & Virtualisation,2024-05-15 01:06,,Escalated to L3 team for further analysis.,
INC0000034,Incident,Firewall rule causing blocked traffic,"After change request CR-4521, application traffic on port 8443 is being blocked. Rule rollback needed.",tom.wilson,L2-Database Admin,P4 - Low,Resolved,Network Services,2024-01-23 22:27,2024-01-23 23:27,Monitoring in place. No recurrence in past 2 hours.,
RITM0000035,Service Request,CPU threshold breach – DB server,Splunk alert: DB-PROD-02 CPU at 92%. Slow queries detected. DBA team needs to review.,emily.chen,L3-Infrastructure,P3 - Medium,Resolved,Database Services,2024-12-05 03:46,2024-12-06 18:46,Issue resolved after server restart.,
INC0000036,Incident,Application crashing on startup,PaymentService crashes with NullPointerException on boot. Stack trace points to missing config property.,ahmed.ali,L1-Service Desk,P3 - Medium,Resolved,Network Services,2024-07-13 21:47,2024-07-14 20:47,Issue resolved after server restart.,
RITM0000037,Service Request,Insufficient RAM on reporting server,Reporting service crashes during large data exports. Server only has 8 GB RAM. Upgrade requested.,jessica.lee,L2-Network Team,P3 - Medium,Closed,Database Services,2024-06-13 14:28,2024-06-15 23:28,Escalated to L3 team for further analysis.,Resolved by L2-Security Team
INC0000038,Incident,Tomcat connector timeout,Tomcat connector maxThreads=200 reached. New connections queuing. Response time > 30s.,john.smith,L2-Database Admin,P2 - High,Closed,Security Operations,2024-04-30 21:19,2024-05-02 02:19,Awaiting business approval before proceeding.,Resolved by L2-Server Team
INC0000039,Incident,NIC port failure on host,NIC-01 on VMware host ESXI-07 shows link down. Bonded interface in degraded state. NIC replacement required.,john.smith,L2-Server Team,P3 - Medium,In Progress,Security Operations,2024-12-22 12:31,,Temporary workaround applied. Permanent fix pending.,
INC0000040,Incident,Insufficient RAM on reporting server,Reporting service crashes during large data exports. Server only has 8 GB RAM. Upgrade requested.,tom.wilson,L2-Storage Team,P4 - Low,Resolved,Cloud & Virtualisation,2024-10-12 07:58,2024-10-12 23:58,Awaiting business approval before proceeding.,
RITM0000041,Service Request,Volume mount failure after reboot,"After last patch reboot, /data volume failed to auto-mount. fstab entry appears correct. Manual mount succeeded.",anna.brown,L3-Cloud Team,P2 - High,Resolved,Network Services,2024-09-15 13:53,2024-09-18 12:53,Temporary workaround applied. Permanent fix pending.,
RITM0000042,Service Request,User account locked – access issue,Service account SVC-APPMON locked after 5 failed password attempts. Application monitoring affected.,raj.kumar,L2-Database Admin,P2 - High,On Hold,Network Services,2024-09-23 15:40,,Change request raised for permanent resolution.,
INC0000043,Incident,RAID controller degraded,RAID-5 array reporting one failed disk. Hot spare kicked in. Replacement disk required urgently.,carlos.garcia,L3-Application Support,P2 - High,Closed,Cloud & Virtualisation,2024-03-18 07:24,2024-03-19 03:24,User confirmed resolution. Ticket closing.,Resolved by L3-Infrastructure
INC0000044,Incident,Processor performance degraded,vCPU saturation on VM cluster. Workload balancing required. CPU steal time above 30%.,raj.kumar,L3-Infrastructure,P4 - Low,Resolved,Security Operations,2024-10-26 22:01,2024-10-28 23:01,Patch applied successfully during maintenance window.,
RITM0000045,Service Request,Backup failure – Oracle RMAN,Nightly RMAN backup failed with ORA-19809 disk quota exceeded. Backup destination /backup is full.,emily.chen,L3-Infrastructure,P1 - Critical,Resolved,Database Services,2024-04-22 15:14,2024-04-24 02:14,Vendor engaged. Awaiting response.,
CHG0000046,Change Request,Multiple failed login attempts detected,SIEM alert: 450 failed SSH login attempts from IP 185.220.x.x in 10 minutes. Potential brute-force. IP blocked.,sarah.jones,L3-Infrastructure,P3 - Medium,Resolved,Application Services,2024-09-30 00:58,2024-10-02 03:58,User confirmed resolution. Ticket closing.,
INC0000047,Incident,Low memory causing service restart,Tomcat service restarted automatically due to OOM killer. Heap dump captured. Needs analysis.,carlos.garcia,L2-Security Team,P3 - Medium,Closed,IT Infrastructure,2024-04-18 14:20,2024-04-20 10:20,User confirmed resolution. Ticket closing.,Resolved by L1-Service Desk
CHG0000048,Change Request,Oracle database tablespace almost full,APP_DATA tablespace at 97% on ORCL-PROD. Auto-extend disabled. DBA action required immediately.,john.smith,L2-Database Admin,P3 - Medium,Closed,Application Services,2024-06-28 07:41,2024-06-28 16:41,Investigated the issue. Root cause identified. Fix applied.,Resolved by L2-Middleware Team
INC0000049,Incident,RAM utilisation above 90%,Nagios alert: memory usage on web-01 is at 93%. Swap usage also elevated at 60%.,mike.patel,L2-Middleware Team,P4 - Low,Closed,Cloud & Virtualisation,2024-02-28 18:13,2024-03-02 06:13,Escalated to L3 team for further analysis.,Resolved by L2-Network Team
INC0000050,Incident,Datadog alert – false positive suppression,Datadog CPU monitor firing false positives during batch window 02:00-04:00. Alert suppression / downtime needed.,sarah.jones,L2-Middleware Team,P3 - Medium,Resolved,Database Services,2024-06-08 18:43,2024-06-10 19:43,Temporary workaround applied. Permanent fix pending.,
RITM0000051,Service Request,CPU threshold breach – DB server,Splunk alert: DB-PROD-02 CPU at 92%. Slow queries detected. DBA team needs to review.,emily.chen,L2-Server Team,P3 - Medium,On Hold,Cloud & Virtualisation,2024-11-03 03:50,,Change request raised for permanent resolution.,
RITM0000052,Service Request,Processor performance degraded,vCPU saturation on VM cluster. Workload balancing required. CPU steal time above 30%.,jessica.lee,L2-Storage Team,P3 - Medium,Closed,Database Services,2024-02-24 13:23,2024-02-27 00:23,Issue resolved after server restart.,Resolved by L2-Middleware Team
RITM0000053,Service Request,Unauthorised access attempt on database,Audit log shows user EXTERNAL-USR tried to query sensitive HR tables. Access revoked. Incident under investigation.,sarah.jones,L2-Security Team,P2 - High,On Hold,Security Operations,2024-08-26 13:52,,Temporary workaround applied. Permanent fix pending.,
RITM0000054,Service Request,Backup failure – Oracle RMAN,Nightly RMAN backup failed with ORA-19809 disk quota exceeded. Backup destination /backup is full.,linda.wu,L3-Application Support,P2 - High,Closed,Network Services,2024-07-13 10:01,2024-07-16 02:01,Change request raised for permanent resolution.,Resolved by L2-Security Team
INC0000055,Incident,OS filesystem read-only due to error,Filesystem /opt mounted read-only after disk IO error. fsck required. Maintenance window needed.,linda.wu,L3-Cloud Team,P3 - Medium,Closed,Database Services,2024-09-21 06:05,2024-09-22 13:05,User confirmed resolution. Ticket closing.,Resolved by L3-Cloud Team
INC0000056,Incident,SSL certificate expiring in 7 days,SSL certificate for api.company.com expires on the 15th. Auto-renewal failed. Manual renewal in progress.,ahmed.ali,L2-Storage Team,P3 - Medium,Closed,Network Services,2024-07-26 22:15,2024-07-28 14:15,Monitoring in place. No recurrence in past 2 hours.,Resolved by L2-Storage Team
INC0000057,Incident,DNS resolution failure,Internal DNS servers not resolving corporate domain names. Secondary DNS unreachable. Impact to all office users.,jessica.lee,L2-Network Team,P3 - Medium,On Hold,Application Services,2024-05-08 07:07,,Temporary workaround applied. Permanent fix pending.,
RITM0000058,Service Request,Database replication lag,MySQL replica on db-replica-02 is 45 minutes behind primary. Large transaction causing replication delay.,emily.chen,L2-Network Team,P3 - Medium,Closed,Network Services,2024-09-25 19:18,2024-09-26 08:18,Investigated the issue. Root cause identified. Fix applied.,Resolved by L2-Storage Team
CHG0000059,Change Request,Out of memory error on application server,Java heap space exhausted on app-server-07. JVM restart performed but root cause unresolved. Memory leak suspected.,sarah.jones,L1-Service Desk,P4 - Low,Resolved,Cloud & Virtualisation,2024-10-10 09:44,2024-10-11 02:44,Issue resolved after server restart.,
INC0000060,Incident,UPS battery needs replacement,UPS in DC-Row-4 reporting battery fault. Runtime on battery reduced to 2 minutes. Replacement scheduled.,anna.brown,L2-Server Team,P2 - High,In Progress,Cloud & Virtualisation,2024-01-27 08:55,,Investigated the issue. Root cause identified. Fix applied.,
CHG0000061,Change Request,Insufficient RAM on reporting server,Reporting service crashes during large data exports. Server only has 8 GB RAM. Upgrade requested.,priya.nair,L2-Database Admin,P3 - Medium,Closed,Cloud & Virtualisation,2024-02-13 07:07,2024-02-16 07:07,Monitoring in place. No recurrence in past 2 hours.,Resolved by L3-Cloud Team
RITM0000062,Service Request,OS filesystem read-only due to error,Filesystem /opt mounted read-only after disk IO error. fsck required. Maintenance window needed.,linda.wu,L2-Database Admin,P3 - Medium,Resolved,Network Services,2024-08-07 09:36,2024-08-07 17:36,Escalated to L3 team for further analysis.,
INC0000063,Incident,RAM utilisation above 90%,Nagios alert: memory usage on web-01 is at 93%. Swap usage also elevated at 60%.,john.smith,L2-Database Admin,P3 - Medium,Closed,Network Services,2024-03-21 00:26,2024-03-23 10:26,Issue resolved after server restart.,Resolved by L3-Cloud Team
CHG0000064,Change Request,CPU spike causing application slowness,End users are reporting slow response times. CPU utilisation on web-server-03 is at 98%. Suspected runaway process.,tom.wilson,L2-Network Team,P3 - Medium,Resolved,Network Services,2024-11-16 18:42,2024-11-17 20:42,Vendor engaged. Awaiting response.,
RITM0000065,Service Request,CPU spike causing application slowness,End users are reporting slow response times. CPU utilisation on web-server-03 is at 98%. Suspected runaway process.,raj.kumar,L3-Infrastructure,P3 - Medium,Resolved,Network Services,2024-10-31 23:52,2024-11-02 12:52,Patch applied successfully during maintenance window.,
INC0000066,Incident,RabbitMQ queue overflow,RabbitMQ queue payment-events has exceeded max length. Messages being dropped. Consumer throughput issue.,linda.wu,L2-Middleware Team,P1 - Critical,Resolved,Cloud & Virtualisation,2024-01-21 13:47,2024-01-23 07:47,Investigated the issue. Root cause identified. Fix applied.,
INC0000067,Incident,SolarWinds node unreachable alert,SolarWinds showing node ROUTER-CORE-01 as unreachable. SNMP polling failing. Network team to investigate.,priya.nair,L3-Infrastructure,P2 - High,Closed,Database Services,2024-03-30 15:33,2024-04-02 00:33,User confirmed resolution. Ticket closing.,Resolved by L2-Server Team
INC0000068,Incident,UPS battery needs replacement,UPS in DC-Row-4 reporting battery fault. Runtime on battery reduced to 2 minutes. Replacement scheduled.,raj.kumar,L3-Infrastructure,P3 - Medium,On Hold,Cloud & Virtualisation,2024-12-09 03:54,,Investigated the issue. Root cause identified. Fix applied.,
INC0000069,Incident,Physical server hardware error,BIOS POST error on server BLD-02. Memory DIMM slot B1 showing uncorrectable ECC errors. DIMM replacement needed.,ahmed.ali,L3-Cloud Team,P1 - Critical,Closed,Security Operations,2024-02-29 12:55,2024-03-03 06:55,Investigated the issue. Root cause identified. Fix applied.,Resolved by L2-Database Admin
RITM0000070,Service Request,Tomcat connector timeout,Tomcat connector maxThreads=200 reached. New connections queuing. Response time > 30s.,raj.kumar,L3-Cloud Team,P3 - Medium,In Progress,Database Services,2024-11-16 14:48,,User confirmed resolution. Ticket closing.,
RITM0000071,Service Request,Insufficient RAM on reporting server,Reporting service crashes during large data exports. Server only has 8 GB RAM. Upgrade requested.,linda.wu,L2-Server Team,P3 - Medium,New,Security Operations,2024-12-29 05:19,,Escalated to L3 team for further analysis.,
INC0000072,Incident,Application crashing on startup,PaymentService crashes with NullPointerException on boot. Stack trace points to missing config property.,anna.brown,L2-Database Admin,P3 - Medium,Resolved,Security Operations,2024-05-29 16:45,2024-05-31 03:45,Patch applied successfully during maintenance window.,
CHG0000073,Change Request,RAM utilisation above 90%,Nagios alert: memory usage on web-01 is at 93%. Swap usage also elevated at 60%.,carlos.garcia,L3-Application Support,P3 - Medium,Closed,Cloud & Virtualisation,2024-09-17 23:56,2024-09-18 17:56,Issue resolved after server restart.,Resolved by L1-Service Desk
RITM0000074,Service Request,Disk IO latency spike,Disk read/write latency on PROD-DB-03 exceeded 200 ms. IOPS saturation suspected. NVMe replacement planned.,emily.chen,L2-Storage Team,P3 - Medium,Resolved,Cloud & Virtualisation,2024-10-23 21:31,2024-10-24 17:31,Monitoring in place. No recurrence in past 2 hours.,
RITM0000075,Service Request,Physical server hardware error,BIOS POST error on server BLD-02. Memory DIMM slot B1 showing uncorrectable ECC errors. DIMM replacement needed.,john.smith,L3-Application Support,P4 - Low,In Progress,Database Services,2024-12-23 07:36,,User confirmed resolution. Ticket closing.,
INC0000076,Incident,Database connection pool exhausted,Connection pool to PostgreSQL maxed out at 500 connections. Application returning DB connection errors.,priya.nair,L3-Application Support,P2 - High,Closed,IT Infrastructure,2024-12-05 20:09,2024-12-08 12:09,User confirmed resolution. Ticket closing.,Resolved by L2-Server Team
INC0000077,Incident,RabbitMQ queue overflow,RabbitMQ queue payment-events has exceeded max length. Messages being dropped. Consumer throughput issue.,raj.kumar,L3-Application Support,P4 - Low,In Progress,Cloud & Virtualisation,2024-03-14 13:55,,Monitoring in place. No recurrence in past 2 hours.,
RITM0000078,Service Request,Application deployment failure,CI/CD pipeline failed at deployment stage. Docker image push to registry timed out. Jenkins build #3421 failed.,sarah.jones,L2-Database Admin,P1 - Critical,Closed,Database Services,2024-09-30 12:20,2024-10-03 03:20,Issue resolved after server restart.,Resolved by L2-Database Admin
CHG0000079,Change Request,Database connection pool exhausted,Connection pool to PostgreSQL maxed out at 500 connections. Application returning DB connection errors.,john.smith,L1-Service Desk,P3 - Medium,Resolved,Network Services,2024-11-20 22:55,2024-11-21 11:55,Investigated the issue. Root cause identified. Fix applied.,
INC0000080,Incident,Disk IO latency spike,Disk read/write latency on PROD-DB-03 exceeded 200 ms. IOPS saturation suspected. NVMe replacement planned.,carlos.garcia,L2-Middleware Team,P2 - High,In Progress,Database Services,2024-05-05 16:26,,Temporary workaround applied. Permanent fix pending.,
INC0000081,Incident,Tomcat connector timeout,Tomcat connector maxThreads=200 reached. New connections queuing. Response time > 30s.,anna.brown,L2-Security Team,P1 - Critical,On Hold,Database Services,2024-08-24 20:16,,Patch applied successfully during maintenance window.,
CHG0000082,Change Request,Memory leak identified in application,Application memory grows by ~200 MB/hour without release. GC logs show frequent full GC cycles.,raj.kumar,L2-Database Admin,P3 - Medium,Closed,Security Operations,2024-10-27 09:40,2024-10-29 16:40,User confirmed resolution. Ticket closing.,Resolved by L2-Server Team
INC0000083,Incident,RAID controller degraded,RAID-5 array reporting one failed disk. Hot spare kicked in. Replacement disk required urgently.,raj.kumar,L1-Service Desk,P3 - Medium,Closed,Cloud & Virtualisation,2024-05-31 22:18,2024-06-01 01:18,Investigated the issue. Root cause identified. Fix applied.,Resolved by L2-Middleware Team
RITM0000084,Service Request,Database replication lag,MySQL replica on db-replica-02 is 45 minutes behind primary. Large transaction causing replication delay.,raj.kumar,L2-Network Team,P2 - High,In Progress,Database Services,2024-04-27 19:51,,Escalated to L3 team for further analysis.,
INC0000085,Incident,Linux server kernel panic,Server LNX-PROD-04 crashed with kernel panic – not syncing. vmcore dump captured. Analysis pending.,raj.kumar,L3-Application Support,P2 - High,Closed,Database Services,2024-08-13 01:37,2024-08-15 00:37,Monitoring in place. No recurrence in past 2 hours.,Resolved by L2-Network Team
RITM0000086,Service Request,Insufficient RAM on reporting server,Reporting service crashes during large data exports. Server only has 8 GB RAM. Upgrade requested.,anna.brown,L2-Security Team,P3 - Medium,Closed,Database Services,2024-07-06 16:32,2024-07-08 03:32,Change request raised for permanent resolution.,Resolved by L2-Server Team
INC0000087,Incident,Server fan failure – thermal warning,iDRAC alert: Fan-03 on server ESXI-HOST-02 failed. CPU temperature rising. Maintenance window opened.,emily.chen,L2-Server Team,P4 - Low,Closed,Security Operations,2024-04-25 21:46,2024-04-28 00:46,Investigated the issue. Root cause identified. Fix applied.,Resolved by L2-Security Team
INC0000088,Incident,RabbitMQ queue overflow,RabbitMQ queue payment-events has exceeded max length. Messages being dropped. Consumer throughput issue.,sarah.jones,L2-Database Admin,P4 - Low,Closed,Security Operations,2024-12-10 08:37,2024-12-12 09:37,Investigated the issue. Root cause identified. Fix applied.,Resolved by L2-Middleware Team
INC0000089,Incident,Zombie processes consuming resources,250 zombie processes detected on app-server-09. Parent process not reaping children. OS-level investigation needed.,jessica.lee,L2-Security Team,P3 - Medium,Resolved,Database Services,2024-11-08 07:41,2024-11-08 16:41,Monitoring in place. No recurrence in past 2 hours.,
CHG0000090,Change Request,Out of memory error on application server,Java heap space exhausted on app-server-07. JVM restart performed but root cause unresolved. Memory leak suspected.,carlos.garcia,L3-Cloud Team,P3 - Medium,In Progress,Network Services,2024-06-04 15:07,,Patch applied successfully during maintenance window.,
RITM0000091,Service Request,High latency on inter-DC link,RTT between DC-East and DC-West jumped from 8 ms to 210 ms. BGP route advertisement changed. Investigation in progress.,raj.kumar,L1-Service Desk,P4 - Low,Resolved,Database Services,2024-12-01 03:53,2024-12-03 18:53,Change request raised for permanent resolution.,
CHG0000092,Change Request,Volume mount failure after reboot,"After last patch reboot, /data volume failed to auto-mount. fstab entry appears correct. Manual mount succeeded.",emily.chen,L1-Service Desk,P4 - Low,Resolved,Security Operations,2024-07-04 03:43,2024-07-06 03:43,Issue resolved after server restart.,
CHG0000093,Change Request,Out of memory error on application server,Java heap space exhausted on app-server-07. JVM restart performed but root cause unresolved. Memory leak suspected.,john.smith,L1-Service Desk,P3 - Medium,Resolved,Network Services,2024-08-20 02:42,2024-08-21 06:42,Temporary workaround applied. Permanent fix pending.,
INC0000094,Incident,Alert storm from patching activity,Patching activity triggered 300+ monitoring alerts. Alert acknowledgement and suppression window required.,mike.patel,L2-Middleware Team,P2 - High,Closed,IT Infrastructure,2024-10-10 06:37,2024-10-11 10:37,Issue resolved after server restart.,Resolved by L2-Network Team
INC0000095,Incident,Alert storm from patching activity,Patching activity triggered 300+ monitoring alerts. Alert acknowledgement and suppression window required.,linda.wu,L2-Middleware Team,P3 - Medium,In Progress,Network Services,2024-03-30 03:42,,Investigated the issue. Root cause identified. Fix applied.,
INC0000096,Incident,Out of memory error on application server,Java heap space exhausted on app-server-07. JVM restart performed but root cause unresolved. Memory leak suspected.,ahmed.ali,L2-Middleware Team,P4 - Low,Resolved,IT Infrastructure,2024-08-03 16:07,2024-08-04 01:07,User confirmed resolution. Ticket closing.,
INC0000097,Incident,Tomcat connector timeout,Tomcat connector maxThreads=200 reached. New connections queuing. Response time > 30s.,anna.brown,L3-Infrastructure,P1 - Critical,Resolved,Security Operations,2024-12-03 16:19,2024-12-06 03:19,Escalated to L3 team for further analysis.,
INC0000098,Incident,RabbitMQ queue overflow,RabbitMQ queue payment-events has exceeded max length. Messages being dropped. Consumer throughput issue.,tom.wilson,L2-Middleware Team,P3 - Medium,In Progress,Cloud & Virtualisation,2024-02-11 10:38,,Change request raised for permanent resolution.,
INC0000099,Incident,Firewall rule causing blocked traffic,"After change request CR-4521, application traffic on port 8443 is being blocked. Rule rollback needed.",tom.wilson,L2-Storage Team,P3 - Medium,In Progress,Database Services,2024-08-20 16:38,,Temporary workaround applied. Permanent fix pending.,
