Number,Type,Short_Description,Description,Caller_ID,Assignment_Group,Priority,Status,Domain,Opened_At,Resolved_At,Work_Notes,Remarks
INC0000029,Incident,RabbitMQ queue overflow,RabbitMQ queue payment-events has exceeded max length. Messages being dropped. Consumer throughput issue.,linda.wu,L2-Server Team,P2 - High,Closed,Network Services,06-06-2024 11:57,06-06-2024 17:57,Patch applied successfully during maintenance window.,Resolved by L3-Infrastructure
CHG0000030,Change Request,Splunk forwarder not sending logs,Splunk universal forwarder on server app-07 stopped sending logs 6 hours ago. Splunkd service restarted.,jessica.lee,L3-Application Support,P1 - Critical,Closed,Security Operations,01-05-2024 05:51,02-05-2024 04:51,Temporary workaround applied. Permanent fix pending.,Resolved by L2-Security Team
INC0000031,Incident,Out of memory error on application server,Java heap space exhausted on app-server-07. JVM restart performed but root cause unresolved. Memory leak suspected.,raj.kumar,L2-Database Admin,P3 - Medium,Closed,Application Services,20-01-2024 15:14,21-01-2024 17:14,Investigated the issue. Root cause identified. Fix applied.,Resolved by L2-Database Admin
RITM0000032,Service Request,VPN tunnel down – remote site,Site-to-site VPN between HQ and Branch-04 is down. Remote users cannot access internal resources.,ahmed.ali,L3-Application Support,P4 - Low,Resolved,IT Infrastructure,22-05-2024 11:41,25-05-2024 05:41,Escalated to L3 team for further analysis.,
INC0000033,Incident,OS filesystem read-only due to error,Filesystem /opt mounted read-only after disk IO error. fsck required. Maintenance window needed.,carlos.garcia,L2-Middleware Team,P4 - Low,On Hold,Cloud & Virtualisation,15-05-2024 01:06,,Escalated to L3 team for further analysis.,
INC0000034,Incident,Firewall rule causing blocked traffic,"After change request CR-4521, application traffic on port 8443 is being blocked. Rule rollback needed.",tom.wilson,L2-Database Admin,P4 - Low,Resolved,Network Services,23-01-2024 22:27,23-01-2024 23:27,Monitoring in place. No recurrence in past 2 hours.,
RITM0000035,Service Request,CPU threshold breach – DB server,Splunk alert: DB-PROD-02 CPU at 92%. Slow queries detected. DBA team needs to review.,emily.chen,L3-Infrastructure,P3 - Medium,Resolved,Database Services,05-12-2024 03:46,06-12-2024 18:46,Issue resolved after server restart.,
INC0000036,Incident,Application crashing on startup,PaymentService crashes with NullPointerException on boot. Stack trace points to missing config property.,ahmed.ali,L1-Service Desk,P3 - Medium,Resolved,Network Services,13-07-2024 21:47,14-07-2024 20:47,Issue resolved after server restart.,
RITM0000037,Service Request,Insufficient RAM on reporting server,Reporting service crashes during large data exports. Server only has 8 GB RAM. Upgrade requested.,jessica.lee,L2-Network Team,P3 - Medium,Closed,Database Services,13-06-2024 14:28,15-06-2024 23:28,Escalated to L3 team for further analysis.,Resolved by L2-Security Team
INC0000038,Incident,Tomcat connector timeout,Tomcat connector maxThreads=200 reached. New connections queuing. Response time > 30s.,john.smith,L2-Database Admin,P2 - High,Closed,Security Operations,30-04-2024 21:19,02-05-2024 02:19,Awaiting business approval before proceeding.,Resolved by L2-Server Team
INC0000039,Incident,NIC port failure on host,NIC-01 on VMware host ESXI-07 shows link down. Bonded interface in degraded state. NIC replacement required.,john.smith,L2-Server Team,P3 - Medium,In Progress,Security Operations,22-12-2024 12:31,,Temporary workaround applied. Permanent fix pending.,
INC0000040,Incident,Insufficient RAM on reporting server,Reporting service crashes during large data exports. Server only has 8 GB RAM. Upgrade requested.,tom.wilson,L2-Storage Team,P4 - Low,Resolved,Cloud & Virtualisation,12-10-2024 07:58,12-10-2024 23:58,Awaiting business approval before proceeding.,
RITM0000041,Service Request,Volume mount failure after reboot,"After last patch reboot, /data volume failed to auto-mount. fstab entry appears correct. Manual mount succeeded.",anna.brown,L3-Cloud Team,P2 - High,Resolved,Network Services,15-09-2024 13:53,18-09-2024 12:53,Temporary workaround applied. Permanent fix pending.,
RITM0000042,Service Request,User account locked – access issue,Service account SVC-APPMON locked after 5 failed password attempts. Application monitoring affected.,raj.kumar,L2-Database Admin,P2 - High,On Hold,Network Services,23-09-2024 15:40,,Change request raised for permanent resolution.,
INC0000043,Incident,RAID controller degraded,RAID-5 array reporting one failed disk. Hot spare kicked in. Replacement disk required urgently.,carlos.garcia,L3-Application Support,P2 - High,Closed,Cloud & Virtualisation,18-03-2024 07:24,19-03-2024 03:24,User confirmed resolution. Ticket closing.,Resolved by L3-Infrastructure
INC0000044,Incident,Processor performance degraded,vCPU saturation on VM cluster. Workload balancing required. CPU steal time above 30%.,raj.kumar,L3-Infrastructure,P4 - Low,Resolved,Security Operations,26-10-2024 22:01,28-10-2024 23:01,Patch applied successfully during maintenance window.,
RITM0000045,Service Request,Backup failure – Oracle RMAN,Nightly RMAN backup failed with ORA-19809 disk quota exceeded. Backup destination /backup is full.,emily.chen,L3-Infrastructure,P1 - Critical,Resolved,Database Services,22-04-2024 15:14,24-04-2024 02:14,Vendor engaged. Awaiting response.,
CHG0000046,Change Request,Multiple failed login attempts detected,SIEM alert: 450 failed SSH login attempts from IP 185.220.x.x in 10 minutes. Potential brute-force. IP blocked.,sarah.jones,L3-Infrastructure,P3 - Medium,Resolved,Application Services,30-09-2024 00:58,02-10-2024 03:58,User confirmed resolution. Ticket closing.,
INC0000047,Incident,Low memory causing service restart,Tomcat service restarted automatically due to OOM killer. Heap dump captured. Needs analysis.,carlos.garcia,L2-Security Team,P3 - Medium,Closed,IT Infrastructure,18-04-2024 14:20,20-04-2024 10:20,User confirmed resolution. Ticket closing.,Resolved by L1-Service Desk
CHG0000048,Change Request,Oracle database tablespace almost full,APP_DATA tablespace at 97% on ORCL-PROD. Auto-extend disabled. DBA action required immediately.,john.smith,L2-Database Admin,P3 - Medium,Closed,Application Services,28-06-2024 07:41,28-06-2024 16:41,Investigated the issue. Root cause identified. Fix applied.,Resolved by L2-Middleware Team
INC0000049,Incident,RAM utilisation above 90%,Nagios alert: memory usage on web-01 is at 93%. Swap usage also elevated at 60%.,mike.patel,L2-Middleware Team,P4 - Low,Closed,Cloud & Virtualisation,28-02-2024 18:13,02-03-2024 06:13,Escalated to L3 team for further analysis.,Resolved by L2-Network Team
INC0000050,Incident,Datadog alert – false positive suppression,Datadog CPU monitor firing false positives during batch window 02:00-04:00. Alert suppression / downtime needed.,sarah.jones,L2-Middleware Team,P3 - Medium,Resolved,Database Services,08-06-2024 18:43,10-06-2024 19:43,Temporary workaround applied. Permanent fix pending.,
RITM0000051,Service Request,CPU threshold breach – DB server,Splunk alert: DB-PROD-02 CPU at 92%. Slow queries detected. DBA team needs to review.,emily.chen,L2-Server Team,P3 - Medium,On Hold,Cloud & Virtualisation,03-11-2024 03:50,,Change request raised for permanent resolution.,
RITM0000052,Service Request,Processor performance degraded,vCPU saturation on VM cluster. Workload balancing required. CPU steal time above 30%.,jessica.lee,L2-Storage Team,P3 - Medium,Closed,Database Services,24-02-2024 13:23,27-02-2024 00:23,Issue resolved after server restart.,Resolved by L2-Middleware Team
RITM0000053,Service Request,Unauthorised access attempt on database,Audit log shows user EXTERNAL-USR tried to query sensitive HR tables. Access revoked. Incident under investigation.,sarah.jones,L2-Security Team,P2 - High,On Hold,Security Operations,26-08-2024 13:52,,Temporary workaround applied. Permanent fix pending.,
RITM0000054,Service Request,Backup failure – Oracle RMAN,Nightly RMAN backup failed with ORA-19809 disk quota exceeded. Backup destination /backup is full.,linda.wu,L3-Application Support,P2 - High,Closed,Network Services,13-07-2024 10:01,16-07-2024 02:01,Change request raised for permanent resolution.,Resolved by L2-Security Team
INC0000055,Incident,OS filesystem read-only due to error,Filesystem /opt mounted read-only after disk IO error. fsck required. Maintenance window needed.,linda.wu,L3-Cloud Team,P3 - Medium,Closed,Database Services,21-09-2024 06:05,22-09-2024 13:05,User confirmed resolution. Ticket closing.,Resolved by L3-Cloud Team
INC0000056,Incident,SSL certificate expiring in 7 days,SSL certificate for api.company.com expires on the 15th. Auto-renewal failed. Manual renewal in progress.,ahmed.ali,L2-Storage Team,P3 - Medium,Closed,Network Services,26-07-2024 22:15,28-07-2024 14:15,Monitoring in place. No recurrence in past 2 hours.,Resolved by L2-Storage Team
INC0000057,Incident,DNS resolution failure,Internal DNS servers not resolving corporate domain names. Secondary DNS unreachable. Impact to all office users.,jessica.lee,L2-Network Team,P3 - Medium,On Hold,Application Services,08-05-2024 07:07,,Temporary workaround applied. Permanent fix pending.,
RITM0000058,Service Request,Database replication lag,MySQL replica on db-replica-02 is 45 minutes behind primary. Large transaction causing replication delay.,emily.chen,L2-Network Team,P3 - Medium,Closed,Network Services,25-09-2024 19:18,26-09-2024 08:18,Investigated the issue. Root cause identified. Fix applied.,Resolved by L2-Storage Team
CHG0000059,Change Request,Out of memory error on application server,Java heap space exhausted on app-server-07. JVM restart performed but root cause unresolved. Memory leak suspected.,sarah.jones,L1-Service Desk,P4 - Low,Resolved,Cloud & Virtualisation,10-10-2024 09:44,11-10-2024 02:44,Issue resolved after server restart.,
INC0000060,Incident,UPS battery needs replacement,UPS in DC-Row-4 reporting battery fault. Runtime on battery reduced to 2 minutes. Replacement scheduled.,anna.brown,L2-Server Team,P2 - High,In Progress,Cloud & Virtualisation,27-01-2024 08:55,,Investigated the issue. Root cause identified. Fix applied.,
CHG0000061,Change Request,Insufficient RAM on reporting server,Reporting service crashes during large data exports. Server only has 8 GB RAM. Upgrade requested.,priya.nair,L2-Database Admin,P3 - Medium,Closed,Cloud & Virtualisation,13-02-2024 07:07,16-02-2024 07:07,Monitoring in place. No recurrence in past 2 hours.,Resolved by L3-Cloud Team
RITM0000062,Service Request,OS filesystem read-only due to error,Filesystem /opt mounted read-only after disk IO error. fsck required. Maintenance window needed.,linda.wu,L2-Database Admin,P3 - Medium,Resolved,Network Services,07-08-2024 09:36,07-08-2024 17:36,Escalated to L3 team for further analysis.,
INC0000063,Incident,RAM utilisation above 90%,Nagios alert: memory usage on web-01 is at 93%. Swap usage also elevated at 60%.,john.smith,L2-Database Admin,P3 - Medium,Closed,Network Services,21-03-2024 00:26,23-03-2024 10:26,Issue resolved after server restart.,Resolved by L3-Cloud Team
CHG0000064,Change Request,CPU spike causing application slowness,End users are reporting slow response times. CPU utilisation on web-server-03 is at 98%. Suspected runaway process.,tom.wilson,L2-Network Team,P3 - Medium,Resolved,Network Services,16-11-2024 18:42,17-11-2024 20:42,Vendor engaged. Awaiting response.,
RITM0000065,Service Request,CPU spike causing application slowness,End users are reporting slow response times. CPU utilisation on web-server-03 is at 98%. Suspected runaway process.,raj.kumar,L3-Infrastructure,P3 - Medium,Resolved,Network Services,31-10-2024 23:52,02-11-2024 12:52,Patch applied successfully during maintenance window.,
INC0000066,Incident,RabbitMQ queue overflow,RabbitMQ queue payment-events has exceeded max length. Messages being dropped. Consumer throughput issue.,linda.wu,L2-Middleware Team,P1 - Critical,Resolved,Cloud & Virtualisation,21-01-2024 13:47,23-01-2024 07:47,Investigated the issue. Root cause identified. Fix applied.,
INC0000067,Incident,SolarWinds node unreachable alert,SolarWinds showing node ROUTER-CORE-01 as unreachable. SNMP polling failing. Network team to investigate.,priya.nair,L3-Infrastructure,P2 - High,Closed,Database Services,30-03-2024 15:33,02-04-2024 00:33,User confirmed resolution. Ticket closing.,Resolved by L2-Server Team
INC0000068,Incident,UPS battery needs replacement,UPS in DC-Row-4 reporting battery fault. Runtime on battery reduced to 2 minutes. Replacement scheduled.,raj.kumar,L3-Infrastructure,P3 - Medium,On Hold,Cloud & Virtualisation,09-12-2024 03:54,,Investigated the issue. Root cause identified. Fix applied.,
INC0000069,Incident,Physical server hardware error,BIOS POST error on server BLD-02. Memory DIMM slot B1 showing uncorrectable ECC errors. DIMM replacement needed.,ahmed.ali,L3-Cloud Team,P1 - Critical,Closed,Security Operations,29-02-2024 12:55,03-03-2024 06:55,Investigated the issue. Root cause identified. Fix applied.,Resolved by L2-Database Admin
RITM0000070,Service Request,Tomcat connector timeout,Tomcat connector maxThreads=200 reached. New connections queuing. Response time > 30s.,raj.kumar,L3-Cloud Team,P3 - Medium,In Progress,Database Services,16-11-2024 14:48,,User confirmed resolution. Ticket closing.,
RITM0000071,Service Request,Insufficient RAM on reporting server,Reporting service crashes during large data exports. Server only has 8 GB RAM. Upgrade requested.,linda.wu,L2-Server Team,P3 - Medium,New,Security Operations,29-12-2024 05:19,,Escalated to L3 team for further analysis.,
INC0000072,Incident,Application crashing on startup,PaymentService crashes with NullPointerException on boot. Stack trace points to missing config property.,anna.brown,L2-Database Admin,P3 - Medium,Resolved,Security Operations,29-05-2024 16:45,31-05-2024 03:45,Patch applied successfully during maintenance window.,
CHG0000073,Change Request,RAM utilisation above 90%,Nagios alert: memory usage on web-01 is at 93%. Swap usage also elevated at 60%.,carlos.garcia,L3-Application Support,P3 - Medium,Closed,Cloud & Virtualisation,17-09-2024 23:56,18-09-2024 17:56,Issue resolved after server restart.,Resolved by L1-Service Desk
RITM0000074,Service Request,Disk IO latency spike,Disk read/write latency on PROD-DB-03 exceeded 200 ms. IOPS saturation suspected. NVMe replacement planned.,emily.chen,L2-Storage Team,P3 - Medium,Resolved,Cloud & Virtualisation,23-10-2024 21:31,24-10-2024 17:31,Monitoring in place. No recurrence in past 2 hours.,
RITM0000075,Service Request,Physical server hardware error,BIOS POST error on server BLD-02. Memory DIMM slot B1 showing uncorrectable ECC errors. DIMM replacement needed.,john.smith,L3-Application Support,P4 - Low,In Progress,Database Services,23-12-2024 07:36,,User confirmed resolution. Ticket closing.,
INC0000076,Incident,Database connection pool exhausted,Connection pool to PostgreSQL maxed out at 500 connections. Application returning DB connection errors.,priya.nair,L3-Application Support,P2 - High,Closed,IT Infrastructure,05-12-2024 20:09,08-12-2024 12:09,User confirmed resolution. Ticket closing.,Resolved by L2-Server Team
INC0000077,Incident,RabbitMQ queue overflow,RabbitMQ queue payment-events has exceeded max length. Messages being dropped. Consumer throughput issue.,raj.kumar,L3-Application Support,P4 - Low,In Progress,Cloud & Virtualisation,14-03-2024 13:55,,Monitoring in place. No recurrence in past 2 hours.,
RITM0000078,Service Request,Application deployment failure,CI/CD pipeline failed at deployment stage. Docker image push to registry timed out. Jenkins build #3421 failed.,sarah.jones,L2-Database Admin,P1 - Critical,Closed,Database Services,30-09-2024 12:20,03-10-2024 03:20,Issue resolved after server restart.,Resolved by L2-Database Admin
CHG0000079,Change Request,Database connection pool exhausted,Connection pool to PostgreSQL maxed out at 500 connections. Application returning DB connection errors.,john.smith,L1-Service Desk,P3 - Medium,Resolved,Network Services,20-11-2024 22:55,21-11-2024 11:55,Investigated the issue. Root cause identified. Fix applied.,
INC0000080,Incident,Disk IO latency spike,Disk read/write latency on PROD-DB-03 exceeded 200 ms. IOPS saturation suspected. NVMe replacement planned.,carlos.garcia,L2-Middleware Team,P2 - High,In Progress,Database Services,05-05-2024 16:26,,Temporary workaround applied. Permanent fix pending.,
INC0000081,Incident,Tomcat connector timeout,Tomcat connector maxThreads=200 reached. New connections queuing. Response time > 30s.,anna.brown,L2-Security Team,P1 - Critical,On Hold,Database Services,24-08-2024 20:16,,Patch applied successfully during maintenance window.,
CHG0000082,Change Request,Memory leak identified in application,Application memory grows by ~200 MB/hour without release. GC logs show frequent full GC cycles.,raj.kumar,L2-Database Admin,P3 - Medium,Closed,Security Operations,27-10-2024 09:40,29-10-2024 16:40,User confirmed resolution. Ticket closing.,Resolved by L2-Server Team
INC0000083,Incident,RAID controller degraded,RAID-5 array reporting one failed disk. Hot spare kicked in. Replacement disk required urgently.,raj.kumar,L1-Service Desk,P3 - Medium,Closed,Cloud & Virtualisation,31-05-2024 22:18,01-06-2024 01:18,Investigated the issue. Root cause identified. Fix applied.,Resolved by L2-Middleware Team
RITM0000084,Service Request,Database replication lag,MySQL replica on db-replica-02 is 45 minutes behind primary. Large transaction causing replication delay.,raj.kumar,L2-Network Team,P2 - High,In Progress,Database Services,27-04-2024 19:51,,Escalated to L3 team for further analysis.,
INC0000085,Incident,Linux server kernel panic,Server LNX-PROD-04 crashed with kernel panic – not syncing. vmcore dump captured. Analysis pending.,raj.kumar,L3-Application Support,P2 - High,Closed,Database Services,13-08-2024 01:37,15-08-2024 00:37,Monitoring in place. No recurrence in past 2 hours.,Resolved by L2-Network Team
RITM0000086,Service Request,Insufficient RAM on reporting server,Reporting service crashes during large data exports. Server only has 8 GB RAM. Upgrade requested.,anna.brown,L2-Security Team,P3 - Medium,Closed,Database Services,06-07-2024 16:32,08-07-2024 03:32,Change request raised for permanent resolution.,Resolved by L2-Server Team
INC0000087,Incident,Server fan failure – thermal warning,iDRAC alert: Fan-03 on server ESXI-HOST-02 failed. CPU temperature rising. Maintenance window opened.,emily.chen,L2-Server Team,P4 - Low,Closed,Security Operations,25-04-2024 21:46,28-04-2024 00:46,Investigated the issue. Root cause identified. Fix applied.,Resolved by L2-Security Team
INC0000088,Incident,RabbitMQ queue overflow,RabbitMQ queue payment-events has exceeded max length. Messages being dropped. Consumer throughput issue.,sarah.jones,L2-Database Admin,P4 - Low,Closed,Security Operations,10-12-2024 08:37,12-12-2024 09:37,Investigated the issue. Root cause identified. Fix applied.,Resolved by L2-Middleware Team
INC0000089,Incident,Zombie processes consuming resources,250 zombie processes detected on app-server-09. Parent process not reaping children. OS-level investigation needed.,jessica.lee,L2-Security Team,P3 - Medium,Resolved,Database Services,08-11-2024 07:41,08-11-2024 16:41,Monitoring in place. No recurrence in past 2 hours.,
CHG0000090,Change Request,Out of memory error on application server,Java heap space exhausted on app-server-07. JVM restart performed but root cause unresolved. Memory leak suspected.,carlos.garcia,L3-Cloud Team,P3 - Medium,In Progress,Network Services,04-06-2024 15:07,,Patch applied successfully during maintenance window.,
RITM0000091,Service Request,High latency on inter-DC link,RTT between DC-East and DC-West jumped from 8 ms to 210 ms. BGP route advertisement changed. Investigation in progress.,raj.kumar,L1-Service Desk,P4 - Low,Resolved,Database Services,01-12-2024 03:53,03-12-2024 18:53,Change request raised for permanent resolution.,
CHG0000092,Change Request,Volume mount failure after reboot,"After last patch reboot, /data volume failed to auto-mount. fstab entry appears correct. Manual mount succeeded.",emily.chen,L1-Service Desk,P4 - Low,Resolved,Security Operations,04-07-2024 03:43,06-07-2024 03:43,Issue resolved after server restart.,
CHG0000093,Change Request,Out of memory error on application server,Java heap space exhausted on app-server-07. JVM restart performed but root cause unresolved. Memory leak suspected.,john.smith,L1-Service Desk,P3 - Medium,Resolved,Network Services,20-08-2024 02:42,21-08-2024 06:42,Temporary workaround applied. Permanent fix pending.,
INC0000094,Incident,Alert storm from patching activity,Patching activity triggered 300+ monitoring alerts. Alert acknowledgement and suppression window required.,mike.patel,L2-Middleware Team,P2 - High,Closed,IT Infrastructure,10-10-2024 06:37,11-10-2024 10:37,Issue resolved after server restart.,Resolved by L2-Network Team
INC0000095,Incident,Alert storm from patching activity,Patching activity triggered 300+ monitoring alerts. Alert acknowledgement and suppression window required.,linda.wu,L2-Middleware Team,P3 - Medium,In Progress,Network Services,30-03-2024 03:42,,Investigated the issue. Root cause identified. Fix applied.,
INC0000096,Incident,Out of memory error on application server,Java heap space exhausted on app-server-07. JVM restart performed but root cause unresolved. Memory leak suspected.,ahmed.ali,L2-Middleware Team,P4 - Low,Resolved,IT Infrastructure,03-08-2024 16:07,04-08-2024 01:07,User confirmed resolution. Ticket closing.,
INC0000097,Incident,Tomcat connector timeout,Tomcat connector maxThreads=200 reached. New connections queuing. Response time > 30s.,anna.brown,L3-Infrastructure,P1 - Critical,Resolved,Security Operations,03-12-2024 16:19,06-12-2024 03:19,Escalated to L3 team for further analysis.,
INC0000098,Incident,RabbitMQ queue overflow,RabbitMQ queue payment-events has exceeded max length. Messages being dropped. Consumer throughput issue.,tom.wilson,L2-Middleware Team,P3 - Medium,In Progress,Cloud & Virtualisation,11-02-2024 10:38,,Change request raised for permanent resolution.,
INC0000099,Incident,Firewall rule causing blocked traffic,"After change request CR-4521, application traffic on port 8443 is being blocked. Rule rollback needed.",tom.wilson,L2-Storage Team,P3 - Medium,In Progress,Database Services,20-08-2024 16:38,,Temporary workaround applied. Permanent fix pending.,
